Date,TSLA.US,^NDQ,GM.US,^DJI,mon_dum,tue_dum,wed_dum,thr_dum,fri_dum
2012/8/28,3.266684322,0.32132735,-3.292032363,-0.412962764,0,1,0,0,0
2012/8/29,-2.44030596,0.329039303,4.248307194,0.08566747,0,0,1,0,0
2012/8/30,0,-2.635345435,-2.172573095,-2.036432632,0,0,0,1,0
2012/8/31,0.967529039,1.4965346,2.850335823,1.733174573,0,0,0,0,1
2012/9/4,-3.330563343,0.660262931,-0.531076335,-1.048443033,0,1,0,0,0
2012/9/5,-1.776385928,-0.470722522,5.314444309,0.221311236,0,0,1,0,0
2012/9/6,5.457220012,5.419855536,7.952814693,4.685195915,0,0,0,1,0
2012/9/7,7.006141867,0.048631773,10.24306661,0.275353596,0,0,0,0,1
2012/9/10,-16.86538864,-2.582562284,-4.194262327,-0.98353153,1,0,0,0,0
2012/9/11,3.926737437,0.041075766,-0.125839875,1.30278574,0,1,0,0,0
2012/9/12,4.316554526,0.787558825,1.745669777,0.187452715,0,0,1,0,0
2012/9/13,10.60822243,3.333001532,4.321268621,3.87205766,0,0,0,1,0
2012/9/14,7.717533442,2.227623161,6.502958024,0.988008739,0,0,0,0,1
2012/9/17,17.68632774,-0.414579375,-3.523704924,-0.740618404,1,0,0,0,0
2012/9/18,-9.219436416,-0.068424844,6.618466176,0.212866429,0,1,0,0,0
2012/9/19,-2.312942427,0.379193152,3.282403762,0.245491218,0,0,1,0,0
2012/9/20,-1.207729469,-0.52315388,-3.331758034,0.349279273,0,0,0,1,0
2012/9/21,-7.120145631,0.314865427,3.881012443,-0.32102835,0,0,0,0,1
2012/9/24,5.330205413,-1.507880602,-4.421729492,-0.378328462,1,0,0,0,0
2012/9/25,-24.46183953,-3.405013952,-8.642581251,-1.869064793,0,1,0,0,0
2012/9/26,-1.084598698,-1.9268827,-1.389779183,-0.818128114,0,0,1,0,0
2012/9/27,8.623366013,3.466722695,-2.240800631,1.350504081,0,0,0,1,0
2012/9/28,6.93270785,-1.623573296,-4.632874485,-0.905385375,0,0,0,0,1
2012/10/1,-1.024590164,-0.216607888,3.739145338,1.450830646,1,0,0,0,0
2012/10/2,5.487397119,0.522718586,6.388679373,-0.60580343,0,1,0,0,0
2012/10/3,-4.195462759,1.217131832,7.486360992,0.227148659,0,0,1,0,0
2012/10/4,0.853670399,1.134685494,2.677800633,1.495967649,0,0,0,1,0
2012/10/5,-4.336734694,-1.053355178,1.522429138,0.640682825,0,0,0,0,1
2012/10/8,3.115264798,-1.900395065,-2.334673172,-0.486769066,1,0,0,0,0
2012/10/9,-7.521794872,-3.801789644,-2.040605807,-2.026701218,0,1,0,0,0
2012/10/10,0.26436423,-1.0799277,-1.408045057,-2.385417927,0,0,1,0,0
2012/10/11,-0.70378645,-0.194148988,4.43310913,-0.348071221,0,0,0,1,0
2012/10/12,-6.002383475,-0.434510282,-2.229319504,0.046149032,0,0,0,0,1
2012/10/15,-2.804354551,1.64826501,0.396167018,1.788976543,1,0,0,0,0
2012/10/16,6.678100988,3.017936283,3.172285638,2.375369016,0,1,0,0,0
2012/10/17,6.762283032,0.23781347,2.72622418,0.096297313,0,0,1,0,0
2012/10/18,-6.758550334,-2.51681636,4.969660824,-0.148631703,0,0,0,1,0
2012/10/19,-2.674755126,-5.47126953,-9.467183313,-3.79051793,0,0,0,0,1
2012/10/22,0.992251248,0.94323301,0.290688456,0.044590966,1,0,0,0,0
2012/10/23,4.847388066,-2.195919071,-7.593994489,-4.558706838,0,1,0,0,0
2012/10/24,-8.542165301,-0.732328806,-1.883792848,-0.480632366,0,0,1,0,0
2012/10/25,0.912199125,0.370593956,-0.655556043,0.503542769,0,0,0,1,0
2012/10/26,-1.272708443,0.153208846,-3.696166327,0.067347493,0,0,0,0,1
2012/10/31,6.857664094,-0.896936026,23.85664519,-0.205039822,0,0,1,0,0
2012/11/1,9.900554548,3.596463827,1.73788956,2.599175655,0,0,0,1,0
2012/11/2,-2.795344853,-3.139838281,1.095764226,-2.634776786,0,0,0,0,1
2012/11/5,22.32126648,1.469587174,-2.145430724,0.368131146,1,0,0,0,0
2012/11/6,-2.777380952,1.022615896,6.05996686,2.540335742,0,1,0,0,0
2012/11/7,3.130011027,-6.195363106,-11.0663934,-5.90664277,0,0,1,0,0
2012/11/8,-1.823871554,-3.550041024,-3.11411229,-2.346952268,0,0,0,1,0
2012/11/9,-7.904835364,0.802084556,3.245404644,0.079421949,0,0,0,0,1
2012/11/12,6.184047137,-0.052498046,2.195566306,-0.006047416,1,0,0,0,0
2012/11/13,4.377622108,-1.753458712,-4.354190571,-1.149036916,0,1,0,0,0
2012/11/14,-1.850446005,-3.214408317,-6.556072222,-3.630201204,0,0,1,0,0
2012/11/15,-4.461042065,-0.866759636,-2.983168423,-0.568175038,0,0,0,1,0
2012/11/16,8.273834728,1.42671329,-0.297973778,0.915496102,0,0,0,0,1
2012/11/19,8.479886181,5.514995812,11.29564848,4.123865714,1,0,0,0,0
2012/11/20,0.607152784,0.052296413,-3.294858561,-0.145553753,0,1,0,0,0
2012/11/21,-4.014772727,0.845996133,0,0.945770852,0,0,1,0,0
2012/11/23,-2.618181986,3.44262015,6.166594466,3.365106346,0,0,0,0,1
2012/11/26,1.088935574,0.836746044,0.217834034,-0.813048438,1,0,0,0,0
2012/11/27,-0.929657468,-0.755010448,-2.166141229,-1.720472231,0,1,0,0,0
2012/11/28,8.243014375,2.02086401,2.689121917,2.076776675,0,0,1,0,0
2012/11/29,3.613369467,1.692136454,7.998221189,0.706771063,0,0,0,1,0
2012/11/30,0.965048976,-0.148570897,-2.010112835,0.07218653,0,0,0,0,1
2012/12/3,5.91328221,-0.667720846,-3.585759413,-1.151196338,1,0,0,0,0
2012/12/4,-5.199306759,-0.458830191,-0.989733269,-0.266474363,0,1,0,0,0
2012/12/5,-1.401548673,-1.917949471,-4.010476346,1.596498705,0,0,1,0,0
2012/12/6,1.409450325,1.308975351,-4.30850732,0.758564393,0,0,0,1,0
2012/12/7,1.991150442,-0.939192512,6.332093717,1.55059186,0,0,0,0,1
2012/12/10,2.92690957,0.748814657,0.886108603,0.280308899,1,0,0,0,0
2012/12/11,5.13414068,2.957856818,1.690127087,1.491281621,0,1,0,0,0
2012/12/12,-0.141369048,-0.702279721,1.752822644,-0.056421737,0,0,1,0,0
2012/12/13,-11.69879226,-1.795899542,-4.972109533,-1.410484355,0,0,0,1,0
2012/12/14,1.487278359,-1.74038153,-5.111807862,-0.677829306,0,0,0,0,1
2012/12/17,4.362244898,3.304075953,2.47192673,1.910542893,1,0,0,0,0
2012/12/18,1.381179333,3.647943931,6.455349951,2.182973074,0,1,0,0,0
2012/12/19,0.144189072,-0.832370283,16.5587478,-1.853612025,0,0,1,0,0
2012/12/20,-1.300204132,0.495177968,1.464428144,1.127190901,0,0,0,1,0
2012/12/21,-3.121555506,-2.407888827,-0.16520007,-2.270179962,0,0,0,0,1
2012/12/24,2.058085209,-0.695959298,3.077845223,-0.980983774,1,0,0,0,0
2012/12/26,-5.032096021,-1.862178849,-0.327772556,-0.465976309,0,0,1,0,0
2012/12/27,0.744642371,-0.355332156,3.057344921,-0.34846686,0,0,0,1,0
2012/12/28,-3.487310775,-2.143400169,-0.972712904,-3.019934623,0,0,0,0,1
2012/12/31,4.891247906,4.999476406,8.803778181,3.208157915,1,0,0,0,0
2013/1/2,10.99756422,7.6792261,2.60335664,5.883827554,0,0,1,0,0
2013/1/3,-4.171032482,-0.93902823,5.918202544,-0.394965909,0,0,0,1,0
2013/1/4,-2.660698878,0.087887066,0.302904836,0.818624845,0,0,0,0,1
