Date,700.HK,175.HK
2021/3/18,0.025625721,0.006091938
2021/3/19,-0.019522783,-0.030349907
2021/3/22,0.008767033,0.008353186
2021/3/23,-0.007898884,-0.066263425
2021/3/24,-0.007961773,-0.117510244
2021/3/25,-0.028063191,-0.011067299
2021/3/26,0.023099775,0.039169044
2021/3/29,-0.012890468,-0.026923327
2021/3/30,-0.004095588,0.005024039
2021/3/31,0.000821494,-0.011011975
2021/4/1,0.072131424,0.03897106
2021/4/7,-0.037457234,-0.007327395
2021/4/8,-0.0150996,0.017188308
2021/4/9,0.000807584,-0.002433727
2021/4/12,-0.01127919,-0.070522623
2021/4/13,-0.008956165,0
2021/4/14,0.025479195,0.049881273
2021/4/15,-0.005611669,0.007449479
2021/4/16,0.019359263,0.071240889
2021/4/19,-0.007901742,0.04814465
2021/4/20,-0.007180581,0.010965512
2021/4/21,-0.021697545,-0.02597679
2021/4/22,0.019708948,-0.017778203
2021/4/23,0.017713831,0.004523838
2021/4/26,-0.005537755,-0.029304824
2021/4/27,-0.005568593,-0.002300697
2021/4/28,0.004797044,-0.039516502
2021/4/29,0.005573041,0.014529274
2021/4/30,-0.01344858,-0.038186601
2021/5/3,0.002398116,-0.017401074
2021/5/4,-0.003999129,0.012654626
2021/5/5,-0.018490264,0
2021/5/6,0,-0.014458324
2021/5/7,-0.017196653,-0.027355434
2021/5/10,-0.008339924,-0.00104995
2021/5/11,-0.017644708,-0.063506037
2021/5/12,0.023949423,0.021124835
2021/5/13,-0.03091187,-0.037034971
2021/5/14,0.005169251,-0.005654758
2021/5/17,0.030031727,0.037524327
2021/5/18,0.01165473,0.003268524
2021/5/20,0.002459313,0.042621079
2021/5/21,-0.033654427,0.006297716
2021/5/24,-0.002386361,-0.016624785
2021/5/25,0.041845772,0.031728291
2021/5/26,0.013113836,0.01130609
2021/5/27,-0.020225749,0.001024372
2021/5/28,-0.006607308,0.007173653
2021/5/31,0.029093812,0.004069297
2021/6/1,0.0145398,0.023304911
2021/6/2,0.000796724,0.059402561
2021/6/3,-0.020683933,-0.021028093
2021/6/4,-0.006498329,0.062053211
2021/6/7,-0.017989347,-0.051682966
2021/6/8,0.000833209,0.014214798
2021/6/9,0.003326719,0.016356236
2021/6/10,-0.004145444,0.011496343
2021/6/11,-0.007493864,0.002272214
2021/6/15,0.006710946,0.047617515
2021/6/16,-0.005832305,-0.041125114
2021/6/17,0.004190612,0.029343368
2021/6/18,0.006677334,0.052633217
2021/6/21,-0.020728885,0.043748653
2021/6/22,-0.028790137,-0.003991127
2021/6/23,0.015693351,0.058115434
2021/6/24,0.000858957,-0.011361105
2021/6/25,0.026585854,-0.001919162
2021/6/28,-0.005012607,-0.021112452
2021/6/29,-0.008395308,-0.007841391
2021/6/30,-0.011008344,-0.033597313
2021/7/2,-0.016266219,-0.047036673
2021/7/5,-0.035683119,0.053649217
2021/7/6,0.009024187,-0.012221364
2021/7/7,-0.018783823,-0.008245595
2021/7/8,-0.037374618,0.004157075
2021/7/9,0.019886666,-0.020703525
2021/7/12,-0.00742753,0.021141223
2021/7/13,0.039289621,0.051760912
2021/7/14,0.001799602,-0.025588822
2021/7/15,0.015273653,-0.016162071
2021/7/16,-0.001769345,0
2021/7/19,-0.025708992,-0.026696371
2021/7/20,-0.012738423,-0.033756321
2021/7/21,-0.008295044,0.021838083
2021/7/22,0.011150702,0.023503311
2021/7/23,-0.023896811,-0.010440305
2021/7/26,-0.077212713,-0.012655412
2021/7/27,-0.089795902,-0.027780185
2021/7/28,0.002691975,0.043955162
2021/7/29,0.100178159,0.075789725
2021/7/30,-0.026422461,0.015656067
2021/8/2,-0.008352246,0.030829465
2021/8/3,-0.061052168,0.003737482
2021/8/4,0.024216511,0.050279456
2021/8/5,-0.038967409,-0.005317963
2021/8/6,0.03325819,-0.026739205
2021/8/9,0.01763545,-0.009155468
2021/8/10,0.053293255,0.012936092
2021/8/11,-0.004525504,0.032846823
2021/8/12,-0.00413091,0.02120387
2021/8/13,-0.024481807,-0.015570946
2021/8/16,-0.03487828,-0.066783092
2021/8/17,-0.041427926,-0.035784939
2021/8/18,0.002757735,0.025392915
2021/8/19,-0.034388402,0.02095155
2021/8/20,0.009973093,-0.039177926
2021/8/23,0.019744502,-0.005827873
2021/8/24,0.088060977,-0.007810767
2021/8/25,0.005506704,0.003936128
2021/8/26,-0.005899936,-0.01372641
2021/8/27,-0.011444001,0.025847263
2021/8/30,-0.001286036,0.042633968
2021/8/31,0.033059402,0.044611053
2021/9/1,0.014964077,-0.017793222
2021/9/2,0.015560136,0.018115556
2021/9/3,-0.016127921,-0.024912676
2021/9/6,0.034835171,0.020075937
2021/9/7,0.020792383,0.025042717
2021/9/8,0.017459027,-0.031413687
2021/9/9,-0.084843261,-0.023421857
2021/9/10,0.020832941,0.001844604
2021/9/13,-0.024490164,-0.01289219
2021/9/14,-0.010877287,-0.011195315
2021/9/15,-0.041031733,-0.003772747
2021/9/16,-0.005293854,-0.049242977
2021/9/17,0.023945786,0.02589874
2021/9/20,-0.016456429,-0.058255103
2021/9/21,-0.009246274,0.006188378
2021/9/23,0.029332833,-0.051230479
2021/9/24,-0.006476774,-0.006478034
2021/9/27,0.009560175,-0.045655135
2021/9/28,0.011193166,0.022778612
2021/9/29,-0.010218113,0.004457874
2021/9/30,-0.00774162,-0.008871682
2021/10/4,-0.009535319,-0.015656474
2021/10/5,-0.015316767,0.002272214
2021/10/6,-0.008001893,-0.024946887
2021/10/7,0.056003691,0.025585157
2021/10/8,0.022063415,0.006801188
2021/10/11,0.029471687,0.022522049
2021/10/12,-0.025806295,-0.004404302
2021/10/15,0.025662351,0.079646097
2021/10/18,0.002823954,0.016393919
2021/10/19,0.004024881,0.022176521
2021/10/20,0.021042395,0.049310619
2021/10/21,-0.00785029,-0.018796577
2021/10/22,0.007912405,0.022987211
2021/10/25,-0.008832316,0.009361198
2021/10/26,-0.005940681,0.003713514
2021/10/27,-0.029880917,-0.01848388
2021/10/28,0.002465341,-0.007535078
2021/10/29,-0.014749493,0.026567232
2021/11/1,-0.023699316,-0.035119746
2021/11/2,-0.011925495,0.003830554
2021/11/3,0.010776739,-0.020991524
2021/11/4,0.025158257,0.021441617
