Date,TSLA.US,GM.US
2014/9/23,16.694,26.2297
2014/9/24,16.8093,26.5681
2014/9/25,16.4633,25.9549
2014/9/26,16.44,26.1899
2014/9/29,16.3507,25.4402
2014/9/30,16.1787,25.2192
2014/10/1,16.016,25.6533
2014/10/2,16.7613,26.1998
2014/10/3,17.014,26.6567
2014/10/6,17.3747,26.6487
2014/10/7,17.3047,25.0848
2014/10/8,17.2853,25.4074
2014/10/9,17.134,24.5004
2014/10/10,15.794,23.9171
2014/10/13,14.9727,23.5219
2014/10/14,15.1373,23.7737
2014/10/15,15.3133,23.4423
2014/10/16,15.09,23.6393
2014/10/17,15.1653,23.8763
2014/10/20,15.3647,23.9569
2014/10/21,15.6893,24.3511
2014/10/22,15.4067,24.7204
2014/10/23,15.686,24.4228
2014/10/24,15.6827,23.718
2014/10/27,14.778,23.7519
2014/10/28,16.1847,24.611
2014/10/29,15.8733,24.2556
2014/10/30,15.9107,24.3024
2014/10/31,16.1133,24.7932
2014/11/3,16.1727,24.619
2014/11/4,15.9287,24.3352
2014/11/5,15.398,24.2655
2014/11/6,16.0813,24.7682
2014/11/7,16.0133,24.9424
2014/11/10,16.1287,24.5712
2014/11/11,16.7387,24.7543
2014/11/12,16.6067,24.808
2014/11/13,16.78,24.9902
2014/11/14,17.2453,25.0988
2014/11/17,16.932,25.5089
2014/11/18,17.18,25.481
2014/11/19,16.516,25.3844
2014/11/20,16.5807,25.3666
2014/11/21,16.1853,25.3666
2014/11/24,16.448,25.4173
2014/11/25,16.5393,25.4472
2014/11/26,16.5627,25.3218
2014/11/28,16.3013,26.3949
2014/12/1,15.4427,26.0077
2014/12/2,15.4287,26.2625
2014/12/3,15.2867,26.5611
2014/12/4,15.2187,26.1281
2014/12/5,14.914,26.7911
2014/12/8,14.2907,26.0345
2014/12/9,14.4593,26.1371
2014/12/10,13.9893,25.4671
2014/12/11,13.9253,25.6433
2014/12/12,13.8,25.1496
2014/12/15,13.6027,24.6966
2014/12/16,13.1873,24.4796
2014/12/17,13.7213,24.815
2014/12/18,14.5507,25.2919
2014/12/19,14.6193,26.1371
2014/12/22,14.84,26.4705
2014/12/23,14.7313,26.7353
2014/12/24,14.8173,26.6319
2014/12/26,15.188,26.8697
2014/12/29,15.0473,27.5616
2014/12/30,14.8153,27.9538
2014/12/31,14.8273,27.8096
2015/1/2,14.6207,27.7548
2015/1/5,14.006,27.3476
2015/1/6,14.0853,27.7628
2015/1/7,14.0633,28.5512
2015/1/8,14.0413,28.8399
2015/1/9,13.7773,28.352
2015/1/12,13.4807,28.5512
2015/1/13,13.6167,28.0822
2015/1/14,12.846,27.3247
2015/1/15,12.7913,26.6319
2015/1/16,12.8713,26.8319
2015/1/20,12.7953,27.0301
2015/1/21,13.1047,26.9972
2015/1/22,13.4413,26.9415
2015/1/23,13.4193,26.8857
2015/1/26,13.77,26.8459
2015/1/27,13.732,26.6229
2015/1/28,13.2913,26.1619
2015/1/29,13.68,26.4179
2015/1/30,13.5733,25.9847
2015/2/2,14.0627,26.374
2015/2/3,14.5573,27.0689
2015/2/4,14.57,28.5422
2015/2/5,14.7327,28.8757
2015/2/6,14.4907,28.6776
2015/2/9,14.4987,28.6776
2015/2/10,14.4193,29.8911
2015/2/11,14.1867,30.0086
2015/2/12,13.5253,30.2893
2015/2/13,13.5847,29.9698
2015/2/17,13.6233,29.6651
2015/2/18,13.6307,29.6253
2015/2/19,14.114,29.8821
2015/2/20,14.474,29.9907
2015/2/23,13.8227,30.0235
2015/2/24,13.6073,30.0713
2015/2/25,13.584,30.1599
2015/2/26,13.8127,29.921
2015/2/27,13.556,29.7229
2015/3/2,13.1547,29.9618
2015/3/3,13.304,30.1131
2015/3/4,13.4953,29.9289
2015/3/5,13.3753,29.9618
2015/3/6,12.9253,29.3465
2015/3/9,12.7253,30.2465
2015/3/10,12.688,30.1579
2015/3/11,12.916,30.3421
2015/3/12,12.5787,30.8648
2015/3/13,12.5787,30.5611
2015/3/16,13.0467,30.9862
2015/3/17,12.982,30.7542
2015/3/18,13.3807,30.9234
2015/3/19,13.0433,31.044
2015/3/20,13.2053,31.2172
2015/3/23,13.3087,30.9932
2015/3/24,13.448,30.3978
2015/3/25,12.9533,30.0225
2015/3/26,12.6933,29.9977
2015/3/27,12.3333,29.9668
2015/3/30,12.7047,30.2615
2015/3/31,12.5847,30.1191
2015/4/1,12.506,29.5079
2015/4/2,12.7333,29.3167
2015/4/6,13.54,29.4441
2015/4/7,13.55,28.6965
2015/4/8,13.8447,29.0031
2015/4/9,14.006,29.1455
2015/4/10,14.06,29.3715
2015/4/13,13.9853,29.2351
2015/4/14,13.8307,29.2998
2015/4/15,13.8553,29.6681
2015/4/16,13.78,29.7817
2015/4/17,13.786,29.4273
2015/4/20,13.6847,29.8075
2015/4/21,13.9607,29.8453
2015/4/22,14.6293,29.8453
2015/4/23,14.5733,28.8518
2015/4/24,14.562,28.586
2015/4/27,15.4367,28.7383
2015/4/28,15.3653,28.6876
2015/4/29,15.4967,28.5213
2015/4/30,15.07,28.16
2015/5/1,15.0687,28.4496
2015/5/4,15.3673,28.4327
2015/5/5,15.53,28.1162
2015/5/6,15.362,27.926
