Date,Toyota,Honda,Nikkei,Mon,Tue,Wed,Thr,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov
2015/8/25,-3.846 ,-4.158 ,-3.959 ,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2015/8/26,2.899 ,3.423 ,3.202 ,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2015/8/27,1.534 ,0.286 ,1.075 ,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2015/8/28,4.552 ,4.807 ,3.025 ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015/8/31,-2.096 ,-0.907 ,-1.285 ,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015/9/1,-2.668 ,-3.779 ,-3.837 ,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2015/9/2,0.213 ,-0.570 ,-0.387 ,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2015/9/3,2.422 ,0.478 ,0.481 ,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2015/9/4,-2.519 ,-1.904 ,-2.146 ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2015/9/7,1.215 ,1.193 ,0.384 ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2015/9/8,-0.549 ,-0.835 ,-2.427 ,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2015/9/9,6.253 ,6.591 ,7.709 ,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2015/9/10,-4.219 ,-2.969 ,-2.509 ,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2015/9/11,-1.435 ,-0.614 ,-0.193 ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2015/9/14,-0.921 ,-1.735 ,-1.634 ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2015/9/15,2.201 ,1.273 ,0.338 ,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2015/9/16,1.896 ,3.470 ,0.805 ,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2015/9/17,0.561 ,0.614 ,1.434 ,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2015/9/18,-1.417 ,-1.415 ,-1.964 ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2015/9/24,-1.853 ,-2.947 ,-2.758 ,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2015/9/25,1.340 ,0.488 ,1.757 ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2015/9/28,-0.650 ,-2.295 ,-1.317 ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2015/9/29,-4.680 ,-3.950 ,-4.048 ,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2015/9/30,3.747 ,1.783 ,2.701 ,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2015/10/1,2.583 ,1.865 ,1.922 ,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2015/10/2,1.484 ,0.999 ,0.015 ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015/10/5,-0.153 ,-0.055 ,1.582 ,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015/10/6,-0.386 ,1.045 ,1.003 ,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2015/10/7,1.842 ,5.031 ,0.753 ,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2015/10/8,-0.026 ,-0.336 ,-0.992 ,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2015/10/9,2.053 ,4.052 ,1.640 ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015/10/13,-2.452 ,-2.746 ,-1.106 ,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2015/10/14,-1.751 ,-2.439 ,-1.885 ,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2015/10/15,0.876 ,0.685 ,1.151 ,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2015/10/16,2.054 ,0.967 ,1.077 ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015/10/19,-0.593 ,-1.269 ,-0.878 ,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015/10/20,-0.489 ,0.158 ,0.419 ,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2015/10/21,2.007 ,3.506 ,1.907 ,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
